timestamp,meter_reading
2025-09-18 12:40:10.397286+00:00,30.0
2025-09-18 12:45:10.397286+00:00,30.0
2025-09-18 12:50:10.397286+00:00,30.0
2025-09-18 12:55:10.397286+00:00,30.0
2025-09-18 13:00:10.397286+00:00,30.0
2025-09-18 13:05:10.397286+00:00,30.0
2025-09-18 13:10:10.397286+00:00,30.0
2025-09-18 13:15:10.397286+00:00,30.0
2025-09-18 13:20:10.397286+00:00,30.0
2025-09-18 13:25:10.397286+00:00,30.0
2025-09-18 13:30:10.397286+00:00,30.0
2025-09-18 13:35:10.397286+00:00,30.0
2025-09-18 13:40:10.397286+00:00,30.0
2025-09-18 13:45:10.397286+00:00,30.0
2025-09-18 13:50:10.397286+00:00,30.0
2025-09-18 13:55:10.397286+00:00,30.0
2025-09-18 14:00:10.397286+00:00,30.0
2025-09-18 14:05:10.397286+00:00,30.0
2025-09-18 14:10:10.397286+00:00,30.0
2025-09-18 14:15:10.397286+00:00,30.0
2025-09-18 14:20:10.397286+00:00,30.0
2025-09-18 14:25:10.397286+00:00,30.0
2025-09-18 14:30:10.397286+00:00,30.0
2025-09-18 14:35:10.397286+00:00,30.0
2025-09-18 14:40:10.397286+00:00,30.0
2025-09-18 14:45:10.397286+00:00,30.0
2025-09-18 14:50:10.397286+00:00,30.0
2025-09-18 14:55:10.397286+00:00,30.0
2025-09-18 15:00:10.397286+00:00,30.0
2025-09-18 15:05:10.397286+00:00,30.0
2025-09-18 15:10:10.397286+00:00,30.0
2025-09-18 15:15:10.397286+00:00,30.0
2025-09-18 15:20:10.397286+00:00,30.0
2025-09-18 15:25:10.397286+00:00,30.0
2025-09-18 15:30:10.397286+00:00,30.0
2025-09-18 15:35:10.397286+00:00,30.0
2025-09-18 15:40:10.397286+00:00,30.0
2025-09-18 15:45:10.397286+00:00,30.0
2025-09-18 15:50:10.397286+00:00,30.0
2025-09-18 15:55:10.397286+00:00,30.0
2025-09-18 16:00:10.397286+00:00,30.0
2025-09-18 16:05:10.397286+00:00,30.0
2025-09-18 16:10:10.397286+00:00,30.0
2025-09-18 16:15:10.397286+00:00,30.0
2025-09-18 16:20:10.397286+00:00,30.0
2025-09-18 16:25:10.397286+00:00,30.0
2025-09-18 16:30:10.397286+00:00,30.0
2025-09-18 16:35:10.397286+00:00,30.0
2025-09-18 16:40:10.397286+00:00,30.0
2025-09-18 16:45:10.397286+00:00,30.0
2025-09-18 16:50:10.397286+00:00,30.0
2025-09-18 16:55:10.397286+00:00,30.0
2025-09-18 17:00:10.397286+00:00,30.0
2025-09-18 17:05:10.397286+00:00,30.0
2025-09-18 17:10:10.397286+00:00,30.0
2025-09-18 17:15:10.397286+00:00,30.0
2025-09-18 17:20:10.397286+00:00,30.0
2025-09-18 17:25:10.397286+00:00,30.0
2025-09-18 17:30:10.397286+00:00,30.0
2025-09-18 17:35:10.397286+00:00,30.0
2025-09-18 17:40:10.397286+00:00,30.0
2025-09-18 17:45:10.397286+00:00,30.0
2025-09-18 17:50:10.397286+00:00,30.0
2025-09-18 17:55:10.397286+00:00,30.0
2025-09-18 18:00:10.397286+00:00,30.0
2025-09-18 18:05:10.397286+00:00,30.0
2025-09-18 18:10:10.397286+00:00,30.0
2025-09-18 18:15:10.397286+00:00,30.0
2025-09-18 18:20:10.397286+00:00,30.0
2025-09-18 18:25:10.397286+00:00,30.0
2025-09-18 18:30:10.397286+00:00,30.0
2025-09-18 18:35:10.397286+00:00,30.0
2025-09-18 18:40:10.397286+00:00,30.0
2025-09-18 18:45:10.397286+00:00,30.0
2025-09-18 18:50:10.397286+00:00,30.0
2025-09-18 18:55:10.397286+00:00,30.0
2025-09-18 19:00:10.397286+00:00,30.0
2025-09-18 19:05:10.397286+00:00,30.0
2025-09-18 19:10:10.397286+00:00,30.0
2025-09-18 19:15:10.397286+00:00,30.0
2025-09-18 19:20:10.397286+00:00,30.0
2025-09-18 19:25:10.397286+00:00,30.0
2025-09-18 19:30:10.397286+00:00,30.0
2025-09-18 19:35:10.397286+00:00,30.0
2025-09-18 19:40:10.397286+00:00,30.0
2025-09-18 19:45:10.397286+00:00,30.0
2025-09-18 19:50:10.397286+00:00,30.0
2025-09-18 19:55:10.397286+00:00,30.0
2025-09-18 20:00:10.397286+00:00,30.0
2025-09-18 20:05:10.397286+00:00,30.0
2025-09-18 20:10:10.397286+00:00,30.0
2025-09-18 20:15:10.397286+00:00,30.0
2025-09-18 20:20:10.397286+00:00,30.0
2025-09-18 20:25:10.397286+00:00,30.0
2025-09-18 20:30:10.397286+00:00,30.0
2025-09-18 20:35:10.397286+00:00,30.0
